dataset,model,seed,train_acc,test_acc,n_updates_run,stopped_early_at,best_val_loss
coat_vs_shirt,wei,0,0.747,0.772,500,,0.5264742822535432
coat_vs_shirt,wei,1,0.782,0.775,500,,0.5166755089192823
coat_vs_shirt,wei,2,0.744,0.77,450,450.0,0.5336235458803718
coat_vs_shirt,wei,3,0.774,0.774,500,,0.514200265833324
coat_vs_shirt,wei,4,0.771,0.764,500,,0.48294933045345273
coat_vs_shirt,cnn_wei_analoga,0,0.647,0.647,250,250.0,0.6318854126954335
coat_vs_shirt,cnn_wei_analoga,1,0.731,0.746,500,,0.5302201250111003
coat_vs_shirt,cnn_wei_analoga,2,0.702,0.717,450,450.0,0.5899003451874438
coat_vs_shirt,cnn_wei_analoga,3,0.701,0.722,340,340.0,0.5618651567139666
coat_vs_shirt,cnn_wei_analoga,4,0.636,0.638,420,420.0,0.6289670139637872
4_vs_9,wei,0,0.964,0.958,500,,0.14604029563579554
4_vs_9,wei,1,0.956,0.959,500,,0.14770407244052128
4_vs_9,wei,2,0.954,0.944,330,330.0,0.19069160919950387
4_vs_9,wei,3,0.964,0.955,500,,0.1480946607806472
4_vs_9,wei,4,0.954,0.953,500,,0.15922614711488697
4_vs_9,cnn_wei_analoga,0,0.753,0.793,490,490.0,0.4654511007471456
4_vs_9,cnn_wei_analoga,1,0.856,0.878,500,,0.3467630288929741
4_vs_9,cnn_wei_analoga,2,0.816,0.853,500,,0.37600001346064443
4_vs_9,cnn_wei_analoga,3,0.8,0.816,500,,0.42603608497193257
4_vs_9,cnn_wei_analoga,4,0.591,0.631,260,260.0,0.6444477004626539
1_vs_0,wei,0,0.993,0.995,500,,0.03802393574286708
1_vs_0,wei,1,0.995,0.993,500,,0.03670967417514395
1_vs_0,wei,2,0.989,0.988,500,,0.04684580761457309
1_vs_0,wei,3,0.993,0.994,500,,0.04130209314984386
1_vs_0,wei,4,0.986,0.992,500,,0.05810992812961034
1_vs_0,cnn_wei_analoga,0,0.997,0.993,270,270.0,0.027489373854628317
1_vs_0,cnn_wei_analoga,1,0.995,0.994,320,320.0,0.027493073545472712
1_vs_0,cnn_wei_analoga,2,0.996,0.997,410,410.0,0.01611662065758926
1_vs_0,cnn_wei_analoga,3,0.976,0.966,500,500.0,0.09565717862457652
1_vs_0,cnn_wei_analoga,4,0.995,0.998,480,480.0,0.018209428292092173
