dataset,model,seed,test_tp,test_fp,test_fn,test_tn,test_acc_recomputed,test_acc_original,sanity_check_matches
coat_vs_shirt,hur,0,376,116,124,384,0.76,0.76,True
coat_vs_shirt,hur,1,390,143,110,357,0.747,0.747,True
coat_vs_shirt,hur,2,383,167,117,333,0.716,0.716,True
coat_vs_shirt,hur,3,404,189,96,311,0.715,0.715,True
coat_vs_shirt,hur,4,384,148,116,352,0.736,0.736,True
coat_vs_shirt,wei,0,398,126,102,374,0.772,0.772,True
coat_vs_shirt,wei,1,396,121,104,379,0.775,0.775,True
coat_vs_shirt,wei,2,405,135,95,365,0.77,0.77,True
coat_vs_shirt,wei,3,425,151,75,349,0.774,0.774,True
coat_vs_shirt,wei,4,390,126,110,374,0.764,0.764,True
coat_vs_shirt,gong,0,377,129,123,371,0.748,0.748,True
coat_vs_shirt,gong,1,372,124,128,376,0.748,0.748,True
coat_vs_shirt,gong,2,386,152,114,348,0.734,0.734,True
coat_vs_shirt,gong,3,376,145,124,355,0.731,0.731,True
coat_vs_shirt,gong,4,363,119,137,381,0.744,0.744,True
4_vs_9,hur,0,391,79,109,421,0.812,0.812,True
4_vs_9,hur,1,366,32,134,468,0.834,0.834,True
4_vs_9,hur,2,371,24,129,476,0.847,0.847,True
