dataset,model,seed,train_acc,test_acc,n_updates_run,stopped_early_at,best_val_loss
coat_vs_shirt,hur,0,0.742,0.76,490,490.0,0.599379719804352
coat_vs_shirt,hur,1,0.725,0.747,300,300.0,0.5747986189022133
coat_vs_shirt,hur,2,0.719,0.716,280,280.0,0.607881462711887
coat_vs_shirt,hur,3,0.72,0.715,500,,0.5936294743005268
coat_vs_shirt,hur,4,0.742,0.736,260,260.0,0.5684567753207862
coat_vs_shirt,wei,0,0.747,0.772,500,,0.5264742822535431
coat_vs_shirt,wei,1,0.782,0.775,500,,0.5166755089192824
coat_vs_shirt,wei,2,0.744,0.77,450,450.0,0.5336235458803721
coat_vs_shirt,wei,3,0.774,0.774,500,,0.5142002658333241
coat_vs_shirt,wei,4,0.771,0.764,500,,0.4829493304534524
coat_vs_shirt,gong,0,0.741,0.748,350,350.0,0.5755594960651136
coat_vs_shirt,gong,1,0.731,0.748,340,340.0,0.573274802044868
coat_vs_shirt,gong,2,0.742,0.734,330,330.0,0.5815171931623231
coat_vs_shirt,gong,3,0.729,0.731,360,360.0,0.5815227302820829
coat_vs_shirt,gong,4,0.732,0.744,500,,0.5756677692646859
4_vs_9,hur,0,0.787,0.812,420,420.0,0.5748226013431089
4_vs_9,hur,1,0.824,0.834,410,410.0,0.521421357348096
4_vs_9,hur,2,0.83,0.847,480,480.0,0.528819707815161
4_vs_9,hur,3,0.82,0.834,500,,0.5353274893098495
4_vs_9,hur,4,0.818,0.847,500,,0.5421439982906496
4_vs_9,wei,0,0.964,0.958,500,,0.14604029563579563
4_vs_9,wei,1,0.956,0.959,500,,0.14770407244052128
4_vs_9,wei,2,0.954,0.944,330,330.0,0.19069160919950373
4_vs_9,wei,3,0.964,0.955,500,,0.1480946607806472
4_vs_9,wei,4,0.954,0.953,500,,0.159226147114887
4_vs_9,gong,0,0.771,0.776,410,410.0,0.5753859007444774
4_vs_9,gong,1,0.796,0.832,400,400.0,0.5650768607129414
4_vs_9,gong,2,0.76,0.776,450,450.0,0.5497596716051788
4_vs_9,gong,3,0.802,0.836,400,400.0,0.5433988202926068
4_vs_9,gong,4,0.812,0.826,500,,0.5497173353560658
1_vs_0,hur,0,0.993,0.984,500,,0.258042239546458
1_vs_0,hur,1,0.995,0.989,500,,0.16949317366565408
1_vs_0,hur,2,0.995,0.988,480,480.0,0.1773595132608034
1_vs_0,hur,3,0.995,0.993,500,,0.2132743519561337
1_vs_0,hur,4,0.995,0.992,400,400.0,0.21037038922097842
1_vs_0,wei,0,0.993,0.995,500,,0.03802393574286708
1_vs_0,wei,1,0.995,0.993,500,,0.03670967417514395
1_vs_0,wei,2,0.989,0.988,500,,0.04684580761457311
1_vs_0,wei,3,0.993,0.994,500,,0.04130209314984385
1_vs_0,wei,4,0.986,0.992,500,,0.05810992812961035
1_vs_0,gong,0,0.994,0.987,500,,0.16012190199677323
1_vs_0,gong,1,0.994,0.986,360,360.0,0.17170771662182732
1_vs_0,gong,2,0.995,0.989,330,330.0,0.16410499904602485
1_vs_0,gong,3,0.995,0.988,350,350.0,0.16415565258676906
1_vs_0,gong,4,0.994,0.987,390,390.0,0.160229585775898
