dataset,model,seed,train_acc,test_acc,n_updates_run,stopped_early_at,best_val_loss
coat_vs_shirt,wei,0,0.747,0.772,500,,0.5264742822535432
coat_vs_shirt,wei,1,0.782,0.775,500,,0.5166755089192823
coat_vs_shirt,wei,2,0.744,0.77,450,450.0,0.5336235458803718
coat_vs_shirt,wei,3,0.774,0.774,500,,0.514200265833324
coat_vs_shirt,wei,4,0.771,0.764,500,,0.48294933045345273
coat_vs_shirt,cong,0,0.704,0.706,380,380.0,0.6106449864478999
coat_vs_shirt,cong,1,0.756,0.761,480,480.0,0.5720720015781579
coat_vs_shirt,cong,2,0.758,0.742,440,440.0,0.6046059683425157
coat_vs_shirt,cong,3,0.722,0.726,470,470.0,0.6026957054710006
coat_vs_shirt,cong,4,0.747,0.747,320,320.0,0.5647568140321543
4_vs_9,wei,0,0.964,0.958,500,,0.14604029563579554
4_vs_9,wei,1,0.956,0.959,500,,0.14770407244052128
4_vs_9,wei,2,0.954,0.944,330,330.0,0.19069160919950387
4_vs_9,wei,3,0.964,0.955,500,,0.1480946607806472
4_vs_9,wei,4,0.954,0.953,500,,0.15922614711488697
4_vs_9,cong,0,0.76,0.78,420,420.0,0.5581671305476722
4_vs_9,cong,1,0.834,0.876,270,270.0,0.5050585711106665
4_vs_9,cong,2,0.852,0.876,480,480.0,0.5571930195004495
4_vs_9,cong,3,0.818,0.803,260,260.0,0.535902194399658
4_vs_9,cong,4,0.855,0.866,500,,0.5540319043608467
1_vs_0,wei,0,0.993,0.995,500,,0.03802393574286708
1_vs_0,wei,1,0.995,0.993,500,,0.03670967417514395
1_vs_0,wei,2,0.989,0.988,500,,0.04684580761457309
1_vs_0,wei,3,0.993,0.994,500,,0.04130209314984386
1_vs_0,wei,4,0.986,0.992,500,,0.05810992812961034
1_vs_0,cong,0,0.989,0.983,500,,0.26098529236756396
1_vs_0,cong,1,0.995,0.988,500,,0.19253159654397278
1_vs_0,cong,2,0.993,0.988,340,340.0,0.17555267581610443
1_vs_0,cong,3,0.994,0.99,490,490.0,0.23297815902856833
1_vs_0,cong,4,0.995,0.988,500,,0.19650965724833191
